city,state,shape,city_latitude,city_longitude,duration_sec,year,month,day
North Coventry,PA,teardrop,,,60.0,2008,12,Night
Poland,ME,fireball,44.045200000000015,-70.38709999999998,3.0,2008,12,Night
Revere,MA,circle,42.41629999999997,-70.99690000000008,1.0,2008,12,Night
Boston,MA,triangle,42.34166295060047,-71.0656337116156,10.0,2009,12,Night
Spring Grove,PA,rectangle,39.849400000000045,-76.86619999999996,300.0,2009,12,Night
Frostburg,MD,flash,39.640799999999984,-78.96799999999999,300.0,2006,12,Night
Silver Spring,MD,other,39.036979648697866,-77.02814088431519,,2010,12,Night
Twin Mountain,NH,fireball,,,,2010,12,Night
Silver Spring,MD,circle,39.036979648697866,-77.02814088431519,60.0,2010,12,Night
Uniontown,PA,triangle,39.893700000000045,-79.74920000000014,,2010,12,Night
Medford,NY,other,40.83140000000002,-72.9758000000001,4.0,2010,12,Night
Pittsburgh,PA,unknown,40.44309194551387,-79.97424169381219,3600.0,2010,12,Night
Somerset,NJ,light,40.49807526501776,-74.52271908127189,1800.0,2010,12,Night
Montclair,NJ,oval,40.82263072289168,-74.21294216867459,,2010,12,Day
Montclair,NJ,unknown,40.82263072289168,-74.21294216867459,,2010,12,Day
Rockport,MA,unknown,42.65930000000002,-70.59909999999996,,2010,12,Night
Milford,CT,circle,41.22374210526327,-73.05265438596494,30.0,2010,12,Night
Arlington,MA,flash,42.41617398843922,-71.15801502890164,60.0,2010,12,Night
Chelsea,MA,triangle,42.39969999999997,-71.03160000000005,,2010,12,Night
Pine Bush,NY,light,41.6182,-74.3361,120.0,2010,12,Night
Newburgh,NY,changing,41.53039043478263,-74.04801391304338,,2010,12,Night
Gwynn Oak,MD,triangle,39.33259999999996,-76.69280000000015,21.0,2010,12,Night
Lewisburg,PA,fireball,40.98119999999996,-76.95870000000004,240.0,2010,12,Night
Montgomery,PA,fireball,41.18169999999999,-76.9492,60.0,2010,12,Night
Newtown,CT,rectangle,41.39470000000004,-73.31419999999991,,2010,12,Night
Newport,NJ,sphere,39.2891,-75.1611,15.0,2010,12,Night
Newark,NJ,other,40.73847222222246,-74.1799925595236,15.0,2010,12,Day
Springfield,NH,triangle,43.4921,-72.0114,120.0,2010,12,Night
Pinkham Notch,NH,fireball,,,,2010,12,Night
Bailey Island,ME,flash,,,,2010,12,Night
New York,NY,circle,40.74430706561583,-73.98772448166753,,2010,12,Night
Airmont,NY,light,,,600.0,2010,12,Night
Fords,NJ,light,40.53770000000003,-74.31109999999993,,2010,12,Night
New York,NY,light,40.74430706561583,-73.98772448166753,2700.0,2010,12,Night
North Falmouth,MA,fireball,41.63779999999999,-70.6278,,2010,12,Night
Newark,NJ,light,40.73847222222246,-74.1799925595236,,2010,12,Night
Paterson,NJ,oval,40.916779192546606,-74.16207422360279,,2010,12,Night
Jeffersonville,PA,oval,,,180.0,2010,12,Night
Erwinna,PA,light,40.504,-75.0668,900.0,2010,12,Night
Wilmington,DE,disk,39.75068661126516,-75.56602068328687,,2010,12,Night
Colonie,NY,unknown,,,,2010,12,Night
Center Valley,PA,fireball,40.5449,-75.40259999999996,1200.0,2010,12,Night
Lynn,MA,light,42.473313398692696,-70.95398562091513,,2010,12,Night
Lynn,MA,unknown,42.473313398692696,-70.95398562091513,450.0,2010,12,Day
Southampton,NY,light,40.9044882352941,-72.41391568627456,120.0,2010,12,Night
Palm Beach,MA,sphere,,,,2010,12,Day
Fremont,NH,triangle,42.988400000000006,-71.1299,90.0,2010,12,Night
Norwalk,CT,fireball,41.11917184035492,-73.42513348115246,,2010,12,Night
Skidmore,MD,light,,,,2010,12,Night
Columbia,PA,circle,40.04749999999997,-76.48439999999995,4.0,2010,12,Night
Auburn and Westboro,MA,other,,,750.0,2010,12,Night
Belle Vernon,PA,circle,40.164700000000025,-79.82400000000004,5.0,2010,12,Night
Leominster,MA,light,42.52440000000004,-71.76569999999994,2.0,2010,12,Night
Fairfax,PA,light,,,90.0,2010,12,Night
Wellersburg,PA,light,,,,2009,12,Night
Farmingdale,NY,light,40.73337611940303,-73.42861641791036,420.0,2011,12,Night
Saco,ME,formation,43.5009,-70.44279999999995,600.0,2011,12,Night
Readfield,ME,light,44.3829,-69.9501,,2011,12,Night
Leominster,MA,egg,42.52440000000004,-71.76569999999994,120.0,2011,12,Night
Manchester,CT,triangle,41.7765382716049,-72.52271851851876,,2011,12,Night
Danby,NY,egg,,,1.0,2011,12,Day
Latham,NY,diamond,42.74699999999997,-73.759,60.0,2011,12,Night
North Scituate,RI,light,41.82989999999998,-71.64069999999998,,2011,12,Night
North Attleboro,MA,oval,41.96598279569893,-71.32585268817213,300.0,2011,12,Night
Suffolk,NY,unknown,,,300.0,2011,12,Night
Snydersville,PA,light,,,,2011,12,Night
Hicksville,NY,light,40.767044025157126,-73.52539056603803,10800.0,2011,12,Night
New York,NY,other,40.74430706561583,-73.98772448166753,600.0,2011,12,Night
Harwich,MA,light,41.7029,-70.06210000000006,7200.0,2011,12,Night
