city,state,shape,city_latitude,city_longitude,duration_sec,year,month,day
Milwaukee,WI,egg,43.0517440261047,-87.95998544176753,,2006,12,Night
Petelo,MO,light,,,,2005,12,Night
Muncie,IN,disk,40.215994779116514,-85.41153895582299,150.0,2006,12,Day
Winchester,OH,flash,38.9467,-83.6445,,2006,12,Night
Topeka,KS,triangle,39.03386902439035,-95.7572297560975,5.5,2006,12,Night
West Dundee,IL,formation,42.11210000000004,-88.34310000000004,35.0,2006,12,Night
Pomona,IL,triangle,,,10800.0,2006,12,Day
Indianapolis,IN,circle,39.80764884834021,-86.14221402931446,25.0,2006,12,Night
Omaha,NE,sphere,41.25485179600818,-96.0648278492242,70.0,2006,12,Night
Ottawa,IL,fireball,41.401899999999976,-88.87839999999991,5.0,2006,12,Night
Pittsburg,MO,unknown,,,3.0,2006,12,Night
Saint Ann,MO,fireball,38.726199999999984,-90.38899999999995,2.0,2006,12,Night
Saint Paul,MN,chevron,44.95305527415237,-93.11475467362918,120.0,2006,12,Night
Bettendorf,IA,triangle,41.57380000000006,-90.45819999999964,3600.0,2006,12,Night
Bloomfield,MI,diamond,,,,2006,12,Night
Columbus,OH,circle,40.00341687325051,-82.99822087165268,120.0,2006,12,Day
Fort Wayne,IN,other,41.09336991071444,-85.1455725,300.0,2006,12,Night
Kingman,KS,light,37.625,-98.08180000000002,3600.0,2006,12,Night
Riga,MI,other,41.7975,-83.772,60.0,2006,12,Night
Columbus,OH,cone,40.00341687325051,-82.99822087165268,120.0,2006,12,Day
Ashgrove,MO,unknown,,,,2006,12,Night
Osceloa,IA,triangle,,,,2005,12,Night
Osceola,IA,triangle,41.029300000000006,-93.75530000000002,,2005,12,Night
Prior Lake,MN,sphere,44.6742000000001,-93.4102999999997,,2008,12,Night
Schererville,IN,triangle,41.48809999999995,-87.44239999999992,180.0,2008,12,Night
Independence,MO,circle,39.07880845410599,-94.38608574879214,3600.0,2008,12,Day
Waterford,MI,unknown,42.66332235294127,-83.38914588235313,,2008,12,Day
Marshall,MO,disk,39.08659999999999,-93.1495,2700.0,2008,12,Night
Iowa City,IA,unknown,41.65003088235298,-91.50399441176437,2.0,2008,12,Night
Jackson,MI,triangle,42.239585161290215,-84.34975419354826,60.0,2008,12,Night
Iron Mountain,MI,light,45.92779999999997,-87.9943999999999,30.0,2008,12,Night
Salina,KS,circle,38.85167499999998,-97.61407647058822,10.0,2008,12,Day
Warrensburg,MO,disk,38.7862,-93.72390000000004,1800.0,2008,12,Night
Pilot Knob,MO,light,,,1200.0,2007,12,Night
Cape Fair,MO,rectangle,,,180.0,2009,12,Night
Dexter,MI,other,42.33829999999996,-83.88950000000008,600.0,2009,12,Night
Saint Louis Park,MN,oval,44.94830000000001,-93.34799999999998,7.0,2009,12,Night
Sartell,MN,light,45.63930000000003,-94.2237,600.0,2009,12,Night
Lexington,IN,flash,38.6882,-85.5968,1050.0,2009,12,Night
Troy,IL,circle,38.70309999999997,-89.8786,,2009,12,Night
Leavenworth,KS,cylinder,39.3013940298507,-94.97446119402996,,2009,12,Night
Overland Park,KS,unknown,38.92109229843529,-94.69181576413904,10.0,2009,12,Day
OFallon,MO,unknown,38.825100000000845,-90.72889999999596,480.0,2009,12,Night
Green Bay,WI,circle,44.52863971962601,-88.04377663551395,30.0,2009,12,Night
Lancaster,OH,triangle,39.6878,-82.60460000000002,5.0,2009,12,Night
Temperence,MI,light,,,,2009,12,Night
Aberdeen,SD,formation,45.48138656716425,-98.5058059701494,210.0,2009,12,Night
Jackson,WI,light,43.31400000000002,-88.154,10.0,2009,12,Night
St Louis,MO,circle,38.6238249341758,-90.30852769878896,150.0,2009,12,Night
Sartell,MN,light,45.63930000000003,-94.2237,,2009,12,Night
Pine City,MN,light,45.84269999999999,-92.9077,,2008,12,Night
Percy,IL,unknown,37.9833,-89.6212,90.0,2008,12,Night
Plainfield,IN,light,39.685800000000064,-86.4106000000001,300.0,2008,12,Night
Crown Point,IN,triangle,41.39757752808983,-87.32867752808997,,2008,12,Night
Grand Rapids,MI,triangle,42.94334184327165,-85.64301557417605,180.0,2008,12,Night
Ankeny,IA,triangle,41.72777412935317,-93.6041885572137,,2008,12,Night
Empire and Welsville,OH,unknown,,,900.0,2008,12,Night
Rochester Hills,MI,other,,,180.0,2008,12,Day
Mount Vernon,MO,light,37.1056,-93.7876,300.0,2008,12,Night
Edwardsville,IL,oval,38.848717293233165,-89.93861052631595,2.0,2008,12,Night
Jackson,MI,triangle,42.239585161290215,-84.34975419354826,60.0,2008,12,Night
Indianapolis,IN,disk,39.80764884834021,-86.14221402931446,,2008,12,Day
New Hope,MN,diamond,,,750.0,2008,12,Night
Marysville,KS,disk,39.8637,-96.6539,5.0,2008,12,Night
Topeka,KS,oval,39.03386902439035,-95.7572297560975,,2008,12,Day
Portage,WI,formation,43.577500000000015,-89.48269999999991,150.0,2008,12,Night
Windsor,MO,light,38.5263,-93.51929999999996,3.0,2008,12,Night
Madison,WI,triangle,43.06651416871374,-89.38736175266203,5.0,2008,12,Night
Wautoma,WI,triangle,44.06539999999998,-89.28209999999996,300.0,2008,12,Night
Hancock,WI,triangle,,,750.0,2008,12,Night
Jackson,MI,triangle,42.239585161290215,-84.34975419354826,,2008,12,Night
Bloomington,IN,fireball,39.15440153139379,-86.49118928024446,3.0,2009,12,Night
Holland,OH,triangle,41.63250000000002,-83.75099999999999,,2009,12,Night
Salem,MO,fireball,37.5737,-91.5228,15.0,2009,12,Night
Salem,MO,fireball,37.5737,-91.5228,,2009,12,Night
Lockport,IL,light,41.58950000000004,-88.05779999999987,1200.0,2009,12,Night
Marquette,MI,fireball,46.5435,-87.39539999999992,180.0,2008,12,Day
Blanchard,MI,light,43.5166,-85.0701,3600.0,2009,12,Night
Terre Haute,IN,light,39.429084183673424,-87.37565561224481,1.0,2009,12,Night
Minneapolis,MN,fireball,44.980783344228506,-93.2933078783923,3.0,2008,12,Night
Auburn Hills,MI,flash,42.6875,-83.23409999999984,5.0,2008,12,Night
Canfield,OH,circle,41.025100000000016,-80.76090000000012,900.0,2009,12,Night
Youngstown,OH,formation,41.073532450331264,-80.67290662251614,,2009,12,Night
Gifford,IL,circle,40.3129,-88.0154,,2009,12,Night
Frankfort,IL,formation,41.47380000000008,-87.83770000000003,1200.0,2009,12,Night
Saint Cloud,MN,triangle,45.53242777777796,-94.20982843137264,3600.0,2008,12,Night
Lenzburg,IL,circle,38.3051,-89.7749,5.0,2009,12,Night
Lenzburg,IL,circle,38.3051,-89.7749,5.0,2009,12,Night
Ashville,OH,light,39.722,-82.9215,,2008,12,Night
Batesville,IN,unknown,39.29999999999998,-85.22219999999997,1.0,2008,12,Night
Peoria,IL,other,40.73239708939704,-89.61464490644462,600.0,2008,12,Day
Langdon,IA,triangle,,,,2008,12,Night
Campbellsport,WI,sphere,43.61290000000001,-88.29049999999998,10800.0,2008,12,Night
Inver Grove Heights,MN,fireball,44.83192661870505,-93.04600071942455,5.0,2009,12,Night
Manitowoc,WI,diamond,44.10989999999995,-87.71000000000002,300.0,2008,12,Night
Pataskala,OH,disk,40.00970000000002,-82.67180000000005,,2008,12,Night
Olathe,KS,disk,38.86859124423975,-94.83400184331838,35.0,2008,12,Day
Sharpsville,IN,other,40.3692,-86.1188,,2008,12,Night
Galesburg,IL,unknown,40.942100000000096,-90.37799999999996,60.0,2008,12,Day
Minneapolis,MN,triangle,44.980783344228506,-93.2933078783923,,2008,12,Day
St Louis,MO,formation,38.6238249341758,-90.30852769878896,120.0,2008,12,Night
Bartlett,IL,light,41.97339999999991,-88.20650000000019,450.0,2009,12,Night
Kansas City,KS,oval,39.10614083333336,-94.70725125000014,360.0,2010,12,Night
St Louis,MO,other,38.6238249341758,-90.30852769878896,3600.0,2010,12,Night
Wichita,KS,oval,37.69639784853686,-97.32954010326988,30.0,2010,12,Night
Wichita,KS,oval,37.69639784853686,-97.32954010326988,30.0,2010,12,Night
Streamwood,IL,triangle,42.02089999999999,-88.1782000000001,10.0,2010,12,Night
Battle Creek,MI,sphere,42.327892803030224,-85.18855946969687,7200.0,2010,12,Day
Cherry Fork,OH,light,,,,2010,12,Night
Carterville,IL,triangle,37.78610000000001,-89.07760000000002,90.0,2010,12,Day
Rice Lake,WI,circle,45.52330000000001,-91.69990000000004,,2010,12,Night
Monon,IN,fireball,40.8595,-86.9162,60.0,2010,12,Night
Chippewa Falls,WI,oval,44.96169999999994,-91.44030000000014,1200.0,2010,12,Night
Elmhurst,IL,sphere,41.891700000000085,-87.93590000000029,,2010,12,Night
Boscobel,WI,circle,43.1102,-90.6741,3600.0,2010,12,Day
Port Huron,MI,light,42.99099076923087,-82.47415153846146,,2010,12,Night
Villa Park,IL,fireball,41.88159999999995,-87.9760999999999,1.0,2010,12,Night
Addison,IL,light,41.930999999999855,-88.009,900.0,2010,12,Night
Kimmell,IN,unknown,41.3478,-85.5606,300.0,2010,12,Night
Allen,MI,circle,41.9486,-84.767,30.0,2010,12,Night
Independence,MO,circle,39.07880845410599,-94.38608574879214,3600.0,2010,12,Night
Exeter,NE,sphere,40.6586,-97.4544,10800.0,2010,12,Night
St Louis,MO,changing,38.6238249341758,-90.30852769878896,180.0,2010,12,Night
Marion,IN,sphere,40.559870149253726,-85.62199402985075,450.0,2010,12,Night
Manteno,IL,egg,41.25410000000003,-87.89120000000001,150.0,2010,12,Night
Manteno,IL,egg,41.25410000000003,-87.89120000000001,60.0,2010,12,Night
Peotone,IL,egg,41.3308,-87.80179999999997,120.0,2010,12,Night
Monee,IL,egg,41.41229999999998,-87.7964,30.0,2010,12,Night
Peotone,IL,egg,41.3308,-87.80179999999997,,2010,12,Night
Willmington,IL,egg,,,5.0,2010,12,Night
Canton,MI,light,42.30922619808305,-83.48683194888171,120.0,2010,12,Night
Glenview,IL,fireball,42.02179794238675,-87.79151728395058,,2010,12,Night
Odon,IN,light,38.8304,-86.9985,,2010,12,Night
Lebanon,OH,unknown,39.454300000000025,-84.22580000000012,15.0,2006,12,Day
Niles,OH,other,41.185100000000006,-80.74219999999998,,2007,12,Night
Muncie,IN,fireball,40.215994779116514,-85.41153895582299,3600.0,2011,12,Night
Sarona,WI,light,45.7193,-91.7644,3600.0,2011,12,Night
Lamartine,WI,flash,,,360.0,2011,12,Night
New Haven,MO,sphere,38.55720000000001,-91.2605,,2011,12,Night
,IA,other,,,,2011,12,Night
Austin,MN,formation,43.67299999999996,-92.95919999999998,,2011,12,Night
Tuscola,IL,light,39.7942,-88.27340000000002,3600.0,2011,12,Night
Saint Paul,MN,fireball,44.95305527415237,-93.11475467362918,300.0,2011,12,Night
Lakewood,IL,oval,39.3193,-88.8709,,2011,12,Night
Easton,MO,triangle,,,,2011,12,Night
Rochester,MN,triangle,44.03461346153837,-92.48710817307705,,2011,12,Night
Elk Grove,IL,formation,,,1200.0,2011,12,Night
Exeland,WI,light,45.695,-91.2983,300.0,2011,12,Night
Lapeer,MI,triangle,43.05189999999998,-83.33460000000005,5.0,2011,12,Night
Mayville,ND,light,47.4907,-97.2731,,2011,12,Night
Monroe,OH,light,39.4445,-84.3678,780.0,2011,12,Night
Hudson,WI,changing,44.9822000000001,-92.69950000000016,300.0,2011,12,Day
Plattesmouth,NE,unknown,,,600.0,2011,12,Day
St Louis,MO,triangle,38.6238249341758,-90.30852769878896,90.0,2011,12,Night
Eden Prairie,MN,other,44.85089388297857,-93.45257047872356,2.5,2011,12,Night
Prior Lake,MN,light,44.6742000000001,-93.4102999999997,210.0,2011,12,Night
Defiance,MO,circle,38.6619,-90.81210000000004,180.0,2011,12,Night
Hometown,IL,unknown,41.7313,-87.7314,20.0,2011,12,Night
Junction City,KS,diamond,38.96610000000004,-96.76509999999996,,2011,12,Night
Novi,MI,triangle,42.47510648648646,-83.4783448648646,,2011,12,Night
South Lyon,MI,triangle,42.44140000000001,-83.65419999999996,15.0,2011,12,Night
Imperial,MO,fireball,38.39650000000001,-90.42630000000004,12.5,2011,12,Day
Herculaneum,MO,cylinder,38.2591,-90.3928,60.0,2011,12,Day
Topeka,KS,triangle,39.03386902439035,-95.7572297560975,,2011,12,Night
Cedar Falls,IA,light,42.5167567567568,-92.51409729729716,750.0,2011,12,Night
Corydon,IN,triangle,38.18409999999999,-86.15229999999998,900.0,2011,12,Night
Yankton,SD,triangle,42.93589999999997,-97.44050000000004,180.0,2011,12,Night
Kenosha,WI,fireball,42.58091583333327,-87.85322791666661,3.0,2011,12,Night
Imperial,MO,oval,38.39650000000001,-90.42630000000004,1200.0,2011,12,Night
Des Moines,IA,light,41.59971620416218,-93.61890936570909,,2008,12,Night
Lansing,MI,light,42.74380010040131,-84.57670843373519,150.0,2011,12,Night
Cedar Rapids,IA,fireball,41.9776949066212,-91.6758648556874,45.0,2011,12,Night
Acme,MI,sphere,44.7719,-85.5015,180.0,2011,12,Night
Cadiz,OH,changing,40.2612,-81.0199,,2006,12,Night
Burton,MI,circle,43.00323559322034,-83.62198644067797,,2011,12,Night
Bemidji,MN,circle,47.5031945945946,-94.68763918918933,,2011,12,Day
Fishers,IN,circle,39.958299999999845,-85.99880000000047,,2011,12,Day
Lancaster,OH,diamond,39.6878,-82.60460000000002,60.0,2011,12,Night
Milford,MI,rectangle,42.56867289719637,-83.63202523364497,300.0,2011,12,Night
St Louis,MO,circle,38.6238249341758,-90.30852769878896,180.0,2011,12,Night
